baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,manual_centre_cm1,manual_height,aspls_centre_cm1,aspls_height,centre_abs_error_cm1,height_abs_error,height_relative_error_percent,peak_match,match_reason,nearest_fitted_centre_cm1,nearest_centre_distance_cm1
asPLS,011a,0.0,-225.0,225.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.265589342596,20.356169342596104
asPLS,011a,0.0,-225.0,225.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.265589342596,12.265589342596058
asPLS,011a,0.0,-225.0,225.0,2074.0,0.01404,,,,,,False,nearest_peak_outside_centre_tolerance,2093.152411380772,19.15241138077181
asPLS,011a,0.0,-225.0,225.0,2084.0,0.0227,,,,,,False,nearest_peak_outside_centre_tolerance,2093.152411380772,9.15241138077181
asPLS,011a,0.0,-225.0,225.0,2063.0,0.00138,,,,,,False,nearest_peak_outside_centre_tolerance,2093.152411380772,30.15241138077181
asPLS,011a,0.0,-225.0,225.0,1952.0,0.00807,,,,,,False,nearest_peak_outside_centre_tolerance,1958.265589342596,6.2655893425960585
asPLS,011b,-50.0,-225.0,175.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2332025197709,20.32378251977093
asPLS,011b,-50.0,-225.0,175.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2332025197709,12.233202519770884
asPLS,011b,-50.0,-225.0,175.0,2074.0,0.01404,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2332025197709,115.76679748022912
asPLS,011b,-50.0,-225.0,175.0,2084.0,0.0227,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2332025197709,125.76679748022912
asPLS,011b,-50.0,-225.0,175.0,2063.0,0.00138,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2332025197709,104.76679748022912
asPLS,011b,-50.0,-225.0,175.0,1952.0,0.00807,,,,,,False,nearest_peak_outside_centre_tolerance,1958.2332025197709,6.2332025197708845
asPLS,011c,-100.0,-225.0,125.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.1532245352964,20.243804535296476
asPLS,011c,-100.0,-225.0,125.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.1532245352964,12.153224535296431
asPLS,011c,-100.0,-225.0,125.0,2074.0,0.01404,,,,,,False,nearest_peak_outside_centre_tolerance,2092.873683279968,18.87368327996819
asPLS,011c,-100.0,-225.0,125.0,2084.0,0.0227,,,,,,False,nearest_peak_outside_centre_tolerance,2092.873683279968,8.87368327996819
asPLS,011c,-100.0,-225.0,125.0,2063.0,0.00138,,,,,,False,nearest_peak_outside_centre_tolerance,2092.873683279968,29.87368327996819
asPLS,011c,-100.0,-225.0,125.0,1952.0,0.00807,,,,,,False,nearest_peak_outside_centre_tolerance,1958.1532245352964,6.153224535296431
asPLS,011d,-1050.0,-1025.0,25.0,1937.90942,0.00895,,,,,,False,nearest_peak_outside_centre_tolerance,1958.211408002151,20.30198800215112
asPLS,011d,-1050.0,-1025.0,25.0,1946.0,0.01663,,,,,,False,nearest_peak_outside_centre_tolerance,1958.211408002151,12.211408002151074
asPLS,011d,-1050.0,-1025.0,25.0,1965.0,0.04483,,,,,,False,nearest_peak_outside_centre_tolerance,1958.211408002151,6.7885919978489255
asPLS,011d,-1050.0,-1025.0,25.0,2074.0,0.01055,,,,,,False,nearest_peak_outside_centre_tolerance,2093.2660891575038,19.266089157503757
asPLS,011d,-1050.0,-1025.0,25.0,2084.0,0.01198,,,,,,False,nearest_peak_outside_centre_tolerance,2093.2660891575038,9.266089157503757
asPLS,011d,-1050.0,-1025.0,25.0,1907.6,0.01453,,,,,,False,nearest_peak_outside_centre_tolerance,1958.211408002151,50.611408002151165
asPLS,011d,-1050.0,-1025.0,25.0,1952.0,0.0171,,,,,,False,nearest_peak_outside_centre_tolerance,1958.211408002151,6.2114080021510745
asPLS,011d,-1050.0,-1025.0,25.0,1914.0,0.00424,,,,,,False,nearest_peak_outside_centre_tolerance,1958.211408002151,44.211408002151074
asPLS,011e,-200.0,-225.0,25.0,1937.90942,0.01489,,,,,,False,nearest_peak_outside_centre_tolerance,1958.001675341878,20.092255341877944
asPLS,011e,-200.0,-225.0,25.0,1946.0,0.10093,,,,,,False,nearest_peak_outside_centre_tolerance,1958.001675341878,12.001675341877899
asPLS,011e,-200.0,-225.0,25.0,2074.0,0.01404,,,,,,False,nearest_peak_outside_centre_tolerance,1958.001675341878,115.9983246581221
asPLS,011e,-200.0,-225.0,25.0,2084.0,0.0227,,,,,,False,nearest_peak_outside_centre_tolerance,1958.001675341878,125.9983246581221
asPLS,011e,-200.0,-225.0,25.0,2063.0,0.00138,,,,,,False,nearest_peak_outside_centre_tolerance,1958.001675341878,104.9983246581221
asPLS,011e,-200.0,-225.0,25.0,1952.0,0.00807,,,,,,False,nearest_peak_outside_centre_tolerance,1958.001675341878,6.001675341877899
asPLS,011f,-250.0,-250.0,0.0,2054.0,0.00682,,,,,,False,nearest_peak_outside_centre_tolerance,2092.0314971420094,38.03149714200936
asPLS,011f,-250.0,-250.0,0.0,1937.90942,0.01626,,,,,,False,nearest_peak_outside_centre_tolerance,1946.763436485083,8.854016485083093
asPLS,011f,-250.0,-250.0,0.0,1946.0,0.0934,1946.763436485083,0.0499213105497484,0.763436485083048,0.043478689450251594,46.551059368577725,True,nearest_peak_within_tolerance,1946.763436485083,0.763436485083048
asPLS,011f,-250.0,-250.0,0.0,2074.0,0.01128,,,,,,False,nearest_peak_outside_centre_tolerance,2092.0314971420094,18.031497142009357
asPLS,011f,-250.0,-250.0,0.0,2084.0,0.0215,,,,,,False,nearest_peak_outside_centre_tolerance,2092.0314971420094,8.031497142009357
asPLS,011g,-275.0,-250.0,25.0,2054.0,0.00682,,,,,,False,nearest_peak_outside_centre_tolerance,1958.8331026081944,95.1668973918056
asPLS,011g,-275.0,-250.0,25.0,1937.90942,0.01626,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1083070443915,9.19888704439154
