baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,matched_peak_count,centre_MAE_cm1,height_MAE,height_mean_relative_error_percent,height_normalized_aggregate_error
asPLS,011f,-250.0,-250.0,0.0,1,0.763436485083048,0.043478689450251594,46.551059368577725,0.46551059368577724
asPLS,011g,-275.0,-250.0,25.0,1,1.1083070443914949,0.020422686205385898,21.865831055017022,0.2186583105501702
asPLS,011h,-300.0,-325.0,25.0,1,1.178736455540502,0.0586096383697973,215.3182893820621,2.153182893820621
asPLS,011i,-325.0,-325.0,0.0,1,1.0435162949243022,0.07171212880807801,263.45381634121236,2.6345381634121234
asPLS,011k,-375.0,-375.0,0.0,1,1.0576647998916542,0.0373084121470318,49.115866438957084,0.49115866438957084
asPLS,011l,-400.0,-400.0,0.0,1,0.852306990900388,0.04677875123433049,71.64765084137002,0.7164765084137003
asPLS,011m,-425.0,-425.0,0.0,3,0.9365003191776395,0.018633559452676033,54.1122676626021,0.5701823577930243
asPLS,011n,-450.0,-425.0,25.0,3,0.9334254415175565,0.01770002014455203,51.815761172454096,0.5416162834930243
asPLS,011o,-475.0,-525.0,50.0,2,0.7466576332262775,0.02897528563185035,107.44702117929447,0.8575106727389864
asPLS,011p,-500.0,-525.0,25.0,2,0.7253346050647451,0.0259868713328405,87.06207235497726,0.7690698825936816
asPLS,011q,-550.0,-525.0,25.0,1,1.2807055305293034,0.028669285009801496,61.89396591062499,0.6189396591062499
asPLS,011r,-600.0,-625.0,25.0,3,0.9416160491679572,0.014821656131696203,69.2288909297712,0.5573448031472626
asPLS,011s,-700.0,-725.0,25.0,3,0.6577397780113946,0.016269437538468334,146.28376436039332,0.6587705846322714
asPLS,011t,-800.0,-825.0,25.0,3,0.8357723945481818,0.015362895591927501,110.9262463612581,0.6353554835371175
