peak_result_id,fit_attempt_id,peak_index,peak_identity,peak_assignment_status,reference_evidence_ids,matched_reference_centre_cm1,initial_centre_cm1,initial_model_amplitude,initial_fwhm_cm1,fitted_centre_cm1,centre_deviation_cm1,raw_model_amplitude,raw_width_parameter,raw_width_parameter_name,peak_height,peak_area,fwhm_cm1,position_stderr,height_stderr,area_stderr,fwhm_stderr,peak_valid,peak_valid_reason,needs_manual_review,manual_review_reason,notes
erni-aspls-011a-gaussian-p001,erni-aspls-011a-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.2655893425956,,0.9458322627458196,3.136489121649803,sigma,0.1203040932527087,0.9458322627458196,7.385867454682472,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011a-gaussian-p002,erni-aspls-011a-gaussian,2,,unassigned,,,2093.259259259259,,,2093.1524113807714,,0.12166154924740627,2.3002858289628882,sigma,0.021099958658535267,0.12166154924740627,5.416759179342443,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011a-lorentzian-p001,erni-aspls-011a-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.274083459107,,0.13111395877975757,2.944070713468715,gamma,0.13111395877975757,1.2126823040222787,5.88814142693743,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011a-lorentzian-p002,erni-aspls-011a-lorentzian,2,,unassigned,,,2093.259259259259,,,2093.082327588617,,0.02154446503037487,2.5652388558063066,gamma,0.02154446503037487,0.17362545501199758,5.130477711612613,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011b-gaussian-p001,erni-aspls-011b-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.2332025197707,,0.9301884280079732,3.086497124545312,sigma,0.1202306296420711,0.9301884280079732,7.268145297809687,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011b-lorentzian-p001,erni-aspls-011b-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.2523657985043,,0.1306564725707805,2.9148221192616313,gamma,0.1306564725707805,1.1964453282928074,5.8296442385232625,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011c-gaussian-p001,erni-aspls-011c-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.1532245352964,,0.8727095192924558,2.977298528373784,sigma,0.11693846701517623,0.8727095192924558,7.011002254655733,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011c-gaussian-p002,erni-aspls-011c-gaussian,2,,unassigned,,,2092.957957957958,,,2092.873683279968,,0.13458801541917242,2.2887886167136062,sigma,0.02345906886898257,0.13458801541917242,5.389685313475859,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011c-lorentzian-p001,erni-aspls-011c-lorentzian,1,,unassigned,,,1958.2762762762763,,,1958.1709910461743,,0.12667059787406398,2.814786799427454,gamma,0.12667059787406398,1.1201371438574415,5.629573598854908,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011c-lorentzian-p002,erni-aspls-011c-lorentzian,2,,unassigned,,,2092.957957957958,,,2092.8338129579834,,0.023934506749658687,2.5608702011150353,gamma,0.023934506749658687,0.19255815723611305,5.1217404022300705,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011d-gaussian-p001,erni-aspls-011d-gaussian,1,,unassigned,,,1958.2762762762763,,,1958.211408002151,,0.8040387545541345,2.907706133448597,sigma,0.11031549941827187,0.8040387545541345,6.847124688104193,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
