processing_run_id,sample_id,raw_file,baseline_family,baseline_method,baseline_implementation,baseline_config_json,corrected_spectrum_file,baseline_qc_pass,baseline_qc_reason,input_qc_pass,input_qc_reason,baseline_over_fraction,baseline_max_overshoot,baseline_oversubtraction_area,zero_clipping_fraction,candidate_peak_file,notes
erni-arpls-011a,011a,011a as iso Hyd2 dark titration 0 mV.0022,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011a.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.51,candidate_peaks/erni-arpls-011a_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011b,011b,011b as iso Hyd2 dark titration -50 mV.0004,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011b.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.491,candidate_peaks/erni-arpls-011b_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011c,011c,011c as iso Hyd2 dark titration -100 mV.0003,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011c.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.5,candidate_peaks/erni-arpls-011c_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011d,011d,011d as iso Hyd2 dark titration -1050mV.0007,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011d.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.477,candidate_peaks/erni-arpls-011d_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011e,011e,011e as iso Hyd2 dark titration -200mV.0011,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011e.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.474,candidate_peaks/erni-arpls-011e_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011f,011f,011f as iso Hyd2 dark titration -250mV.0008,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011f.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.481,candidate_peaks/erni-arpls-011f_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011g,011g,011g as iso Hyd2 dark titration -275mV.0007,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011g.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.465,candidate_peaks/erni-arpls-011g_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011h,011h,011h as iso Hyd2 dark titration -300mV.0006,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011h.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.47,candidate_peaks/erni-arpls-011h_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011i,011i,011i as iso Hyd2 dark titration -325mV.0008,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011i.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.457,candidate_peaks/erni-arpls-011i_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011k,011k,011k as iso Hyd2 dark titration -375mV.0016,arPLS,peak_guided_arPLS,Erni_ProSpecPy_week6,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",corrected_spectra/erni-arpls-011k.csv,TRUE,provisional_numeric_qc_pass,TRUE,,,,,0.451,candidate_peaks/erni-arpls-011k_candidate_peaks.csv,"Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
